# Directed graph (each unordered pair of nodes is saved once): Cit-HepPh.txt 
# Paper citation network of Arxiv High Energy Physics category
# Nodes: 34546 Edges: 421578
# FromNodeId	ToNodeId
9907233	9301253
9907233	9504304
9907233	9505235
9907233	9506257
9907233	9606402
9907233	9607354
9907233	9611297
9907233	9702314
9907233	9704296
9907233	9803214
9907233	9903217
9704296	9311274
9704296	9502335
9704296	9606402
9704296	9607354
9704296	9611296
9704296	9611297
9704296	9612258
9606402	9301203
9606402	9301206
9606402	9502274
9606402	9503474
9606402	9505235
9607354	9504304
9607354	9505235
9607354	9606402
9702314	9302247
9702314	9501357
9702314	9501384
9702314	9502366
9702314	9504372
9702314	9511210
9702314	9610453
9803214	9301253
9803214	9702314
9803214	9706487
9506257	9311274
9611297	9211239
9611297	9302217
9611297	9405341
9611297	9409335
9611297	9409371
9611297	9411285
9611297	9504304
9611297	9505235
9611297	9508393
9611297	9602366
9611297	9606210
9611297	9610360
9903217	9301253
9903217	9502366
9903217	9605245
9903217	9610282
9903217	9702314
9903217	9803214
9903217	9803242
9903217	9804209
9903217	9805334
112133	2171
112133	12308
112133	104062
112133	104110
112133	112008
112133	9403384
112133	9501265
112133	9512380
112133	9607469
112133	9711261
112133	9712252
112133	9910236
2171	9711261
2171	9810333
2171	9901418
2171	9908432
2171	9911280
9501265	9210215
9501265	9211304
9501265	9211321
9501265	9212203
9501265	9303284
9501265	9304257
9501265	9406263
9501265	9409335
104110	1113
104110	1297
104110	2227
104110	3323
104110	4004
104110	4173
104110	4213
104110	5006
104110	6001
104110	6022
104110	6124
104110	6225
104110	6351
104110	6357
104110	7038
104110	7136
104110	7256
104110	7360
104110	8004
104110	8009
104110	8018
104110	8159
104110	8216
104110	8255
104110	8273
104110	9042
104110	9054
104110	9210
104110	11238
104110	11358
104110	12152
104110	12208
104110	12271
104110	12308
104110	101118
104110	101190
104110	102012
104110	102077
104110	102219
104110	103020
104110	103211
104110	104018
104110	104062
104110	9211321
104110	9212203
104110	9304257
104110	9309283
104110	9404282
104110	9408404
104110	9411308
104110	9509204
104110	9512380
104110	9607366
104110	9607447
104110	9703353
104110	9704423
104110	9705292
104110	9707251
104110	9712225
104110	9712306
104110	9801443
104110	9802394
104110	9802433
104110	9804363
104110	9805403
104110	9806468
104110	9808493
104110	9809311
104110	9809384
104110	9810260
104110	9810438
104110	9812396
104110	9903456
104110	9903535
104110	9905312
104110	9909564
104110	9910291
104110	9911250
104110	9911280
104110	9911427
104110	9911528
9712252	9403384
9712252	9512388
9712252	9702315
9712252	9704402
9712252	9707225
9712252	9709328
9712252	9711261
9512380	9207214
9512380	9207222
9512380	9209231
9512380	9211256
9512380	9211260
9512380	9211321
9512380	9211333
9512380	9212203
9512380	9302244
9512380	9303225
9512380	9303270
9512380	9303284
9512380	9304225
9512380	9304257
9512380	9306320
9512380	9307247
9512380	9307318
9512380	9307364
9512380	9308246
9512380	9308262
9512380	9308287
9512380	9308288
9512380	9308349
9512380	9309203
9512380	9309236
9512380	9310212
9512380	9310311
9512380	9310332
9512380	9311243
9512380	9311339
9512380	9311345
9512380	9311357
9512380	9312311
9512380	9312359
9512380	9401204
9512380	9401254
9512380	9402347
9512380	9402363
9512380	9403254
9512380	9403384
9512380	9403407
9512380	9405207
9512380	9405259
9512380	9405346
9512380	9405368
9512380	9406203
9512380	9406239
9512380	9406263
9512380	9407342
9512380	9408213
9512380	9408290
9512380	9408306
9512380	9408382
9512380	9408390
9512380	9408404
9512380	9409287
9512380	9409309
9512380	9409335
9512380	9409371
9512380	9409391
9512380	9409437
9512380	9409440
9512380	9409454
9512380	9410388
9512380	9411229
9512380	9411335
9512380	9412324
9512380	9412375
9512380	9501265
9512380	9501281
9512380	9501389
9512380	9502300
9512380	9502338
9512380	9502363
9512380	9503414
9512380	9503492
9512380	9505397
9512380	9506201
9512380	9506374
9512380	9507248
9512380	9507262
9512380	9508272
9512380	9510323
9512380	9510378
9512380	9908362
9403384	9302210
9403384	9303225
9403384	9307318
9403384	9308272
9403384	9310311
104062	2171
104062	3323
104062	4004
104062	4173
104062	6056
104062	6124
104062	6280
104062	7085
104062	7233
104062	7256
104062	7339
104062	8234
104062	8273
104062	11184
104062	11269
104062	11392
104062	12161
104062	12308
104062	101259
104062	102274
104062	102345
104062	103197
104062	9308272
